direction,entry_time,entry_price,sl,tp,exit_time,exit_price,pnl,result
BUY,2025-12-19 21:00:00,4347.23,4337.299869036748,4352.526069847067,2025-12-19 22:45:00,4337.299869036748,-9.93013096325194,LOSS
BUY,2025-12-22 01:00:00,4344.77,4337.232234022835,4348.790141854489,2025-12-22 01:15:00,4348.790141854489,4.020141854488429,WIN
BUY,2025-12-22 12:45:00,4408.56,4400.761390710489,4412.71925828774,2025-12-22 14:00:00,4412.71925828774,4.159258287739249,WIN
BUY,2025-12-22 14:15:00,4409.15,4401.942575998561,4412.993959467433,2025-12-22 14:45:00,4412.993959467433,3.843959467433706,WIN
BUY,2025-12-22 16:45:00,4419.14,4408.840329619953,4424.6331575360255,2025-12-22 17:30:00,4424.6331575360255,5.493157536025137,WIN
BUY,2025-12-22 17:45:00,4431.69,4420.516991729369,4437.648937744336,2025-12-22 18:00:00,4437.648937744336,5.958937744336254,WIN
BUY,2025-12-22 21:15:00,4432.67,4423.058439270903,4437.796165722185,2025-12-22 22:00:00,4437.796165722185,5.126165722184851,WIN
BUY,2025-12-22 22:30:00,4434.61,4426.034245742495,4439.183735604002,2025-12-22 23:00:00,4439.183735604002,4.57373560400265,WIN
BUY,2025-12-23 07:00:00,4480.46,4471.307608605515,4485.341275410392,2025-12-23 07:30:00,4485.341275410392,4.881275410391936,WIN
BUY,2025-12-23 08:45:00,4481.43,4472.119679827525,4486.395504091987,2025-12-23 09:30:00,4486.395504091987,4.965504091986986,WIN
BUY,2025-12-23 11:15:00,4483.04,4474.12470359586,4487.794824748875,2025-12-23 13:30:00,4487.794824748875,4.754824748874853,WIN
BUY,2025-12-23 13:45:00,4493.35,4485.425572120014,4497.576361535993,2025-12-23 14:15:00,4485.425572120014,-7.9244278799860695,LOSS
BUY,2025-12-23 14:30:00,4485.93,4478.26521572437,4490.017884947003,2025-12-23 15:00:00,4490.017884947003,4.087884947002749,WIN
BUY,2025-12-24 01:00:00,4495.04,4484.412790401575,4500.70784511916,2025-12-24 01:30:00,4500.70784511916,5.66784511916012,WIN
BUY,2025-12-24 04:15:00,4506.5,4493.702309391857,4513.325434991009,2025-12-24 04:45:00,4493.702309391857,-12.797690608143057,LOSS
BUY,2025-12-24 06:30:00,4499.9,4486.204631051991,4507.204196772271,2025-12-24 07:00:00,4486.204631051991,-13.695368948008763,LOSS
SELL,2025-12-24 10:45:00,4482.32,4493.985930107102,4476.098170609545,2025-12-24 11:45:00,4493.985930107102,-11.665930107102213,LOSS
SELL,2025-12-24 12:00:00,4490.54,4501.660073541263,4484.609294111327,2025-12-24 12:30:00,4484.609294111327,5.930705888673401,WIN
SELL,2025-12-24 12:45:00,4489.2,4500.556159464342,4483.143381619017,2025-12-24 13:30:00,4483.143381619017,6.0566183809824,WIN
SELL,2025-12-24 16:00:00,4485.24,4495.523384230952,4479.755528410159,2025-12-24 16:30:00,4479.755528410159,5.484471589840723,WIN
SELL,2025-12-24 16:45:00,4464.62,4477.613028482289,4457.690384809445,2025-12-24 17:30:00,4457.690384809445,6.929615190554614,WIN
BUY,2025-12-26 13:45:00,4509.62,4498.871828843899,4515.352357949921,2025-12-26 15:15:00,4515.352357949921,5.732357949920697,WIN
BUY,2025-12-26 20:30:00,4529.32,4514.394700344217,4537.280159816417,2025-12-29 01:00:00,4537.280159816417,7.960159816417217,WIN
BUY,2025-12-29 01:15:00,4535.97,4521.512531168108,4543.680650043676,2025-12-29 02:00:00,4521.512531168108,-14.457468831892584,LOSS
SELL,2025-12-29 03:30:00,4501.3,4523.690929958068,4489.35817068903,2025-12-29 08:15:00,4489.35817068903,11.941829310970206,WIN
SELL,2025-12-29 15:15:00,4451.48,4467.667935754715,4442.846434264152,2025-12-29 15:30:00,4442.846434264152,8.633565735847696,WIN
SELL,2025-12-30 01:15:00,4333.53,4350.290592002555,4324.591017598637,2025-12-30 02:15:00,4350.290592002555,-16.760592002555313,LOSS
SELL,2025-12-30 02:45:00,4339.62,4354.9814590405385,4331.427221845046,2025-12-30 03:00:00,4331.427221845046,8.192778154953885,WIN
SELL,2025-12-30 10:30:00,4359.14,4373.917699197018,4351.258560428258,2025-12-30 11:15:00,4373.917699197018,-14.777699197017682,LOSS
BUY,2025-12-30 15:45:00,4388.21,4374.396010588984,4395.577461019208,2025-12-30 16:30:00,4374.396010588984,-13.813989411016337,LOSS
BUY,2025-12-30 18:45:00,4377.55,4360.707256184345,4386.532796701683,2025-12-30 21:30:00,4360.707256184345,-16.842743815655012,LOSS
SELL,2025-12-31 04:45:00,4348.65,4365.790060898627,4339.5086341873985,2025-12-31 06:45:00,4339.5086341873985,9.14136581260118,WIN
SELL,2025-12-31 09:45:00,4330.89,4350.328806547192,4320.522636508165,2025-12-31 10:00:00,4320.522636508165,10.367363491835022,WIN
SELL,2025-12-31 10:15:00,4326.03,4344.611062788139,4316.1200998463255,2025-12-31 10:45:00,4316.1200998463255,9.909900153674243,WIN
SELL,2025-12-31 11:45:00,4325.54,4344.434142480408,4315.463124010449,2025-12-31 12:30:00,4315.463124010449,10.0768759895509,WIN
SELL,2025-12-31 14:45:00,4313.5,4328.6275558890275,4305.431970192519,2025-12-31 15:15:00,4328.6275558890275,-15.127555889027462,LOSS
SELL,2025-12-31 18:00:00,4323.83,4342.084414101165,4314.0943124793785,2026-01-02 08:00:00,4342.084414101165,-18.25441410116491,LOSS
